checkbeam_checkrc_beamok,checkbeam_checktopup_time_beamok,macr16_data,refl_refl,refl_refl_raw,refl_refl_sens,vmag_field,vmag_phi,vmag_theta
1,1,76895,1.6605e-09,33210,5e-10,8,90,35
1,1,76957,1.6611e-09,33223,5e-10,7.9,90,35
1,1,76871,1.661e-09,33220,5e-10,7.8,90,35
1,1,76841,1.6579e-09,33158,5e-10,7.7,90,35
1,1,76852,1.6587e-09,33173,5e-10,7.6,90,35
1,1,76767,1.6585e-09,33170,5e-10,7.5,90,35
1,1,76737,1.6572e-09,33143,5e-10,7.4,90,35
1,1,76848,1.66e-09,33200,5e-10,7.3,90,35
1,1,76930,1.6608e-09,33217,5e-10,7.2,90,35
1,1,76839,1.6604e-09,33208,5e-10,7.1,90,35
1,1,76750,1.6583e-09,33167,5e-10,7,90,35
1,1,76773,1.6588e-09,33176,5e-10,6.9,90,35
1,1,76656,1.6575e-09,33149,5e-10,6.8,90,35
1,1,76830,1.6602e-09,33205,5e-10,6.7,90,35
1,1,76890,1.6606e-09,33211,5e-10,6.6,90,35
1,1,76825,1.6594e-09,33188,5e-10,6.5,90,35
1,1,76600,1.6565e-09,33130,5e-10,6.4,90,35
1,1,76570,1.6562e-09,33124,5e-10,6.3,90,35
1,1,76621,1.6565e-09,33129,5e-10,6.2,90,35
1,1,76609,1.6556e-09,33113,5e-10,6.1,90,35
1,1,76623,1.6565e-09,33129,5e-10,6,90,35
1,1,76600,1.6556e-09,33112,5e-10,5.9,90,35
1,1,76497,1.6556e-09,33113,5e-10,5.8,90,35
1,1,76516,1.6555e-09,33110,5e-10,5.7,90,35
1,1,76673,1.6569e-09,33138,5e-10,5.6,90,35
1,1,76609,1.6568e-09,33135,5e-10,5.5,90,35
1,1,76643,1.6581e-09,33161,5e-10,5.4,90,35
1,1,76680,1.6583e-09,33166,5e-10,5.3,90,35
1,1,76546,1.6554e-09,33109,5e-10,5.2,90,35
1,1,76705,1.6589e-09,33178,5e-10,5.1,90,35
1,1,76745,1.6594e-09,33187,5e-10,5,90,35
1,1,76902,1.6613e-09,33225,5e-10,4.9,90,35
1,1,76982,1.6631e-09,33262,5e-10,4.8,90,35
1,1,76896,1.6621e-09,33242,5e-10,4.7,90,35
1,1,76869,1.6619e-09,33237,5e-10,4.6,90,35
1,1,76862,1.6616e-09,33232,5e-10,4.5,90,35
1,1,76944,1.6621e-09,33241,5e-10,4.4,90,35
1,1,76990,1.6641e-09,33282,5e-10,4.3,90,35
1,1,77014,1.6642e-09,33285,5e-10,4.2,90,35
1,1,76875,1.662e-09,33240,5e-10,4.1,90,35
1,1,76981,1.6642e-09,33285,5e-10,4,90,35
1,1,76905,1.6626e-09,33251,5e-10,3.9,90,35
1,1,76909,1.663e-09,33261,5e-10,3.8,90,35
1,1,76828,1.661e-09,33220,5e-10,3.7,90,35
1,1,76862,1.662e-09,33240,5e-10,3.6,90,35
1,1,76692,1.6595e-09,33191,5e-10,3.5,90,35
1,1,76913,1.6627e-09,33254,5e-10,3.4,90,35
1,1,76723,1.6601e-09,33202,5e-10,3.3,90,35
1,1,76486,1.6562e-09,33125,5e-10,3.2,90,35
1,1,76634,1.6575e-09,33149,5e-10,3.1,90,35
1,1,76646,1.6588e-09,33175,5e-10,3,90,35
1,1,76632,1.6589e-09,33178,5e-10,2.9,90,35
1,1,76636,1.6583e-09,33166,5e-10,2.8,90,35
1,1,76655,1.6588e-09,33177,5e-10,2.7,90,35
1,1,76773,1.6608e-09,33217,5e-10,2.6,90,35
1,1,76642,1.6595e-09,33190,5e-10,2.5,90,35
1,1,76567,1.6568e-09,33136,5e-10,2.4,90,35
1,1,76579,1.6568e-09,33137,5e-10,2.3,90,35
1,1,76595,1.6583e-09,33167,5e-10,2.2,90,35
1,1,76760,1.6601e-09,33202,5e-10,2.1,90,35
1,1,76741,1.6604e-09,33209,5e-10,2,90,35
1,1,76775,1.6618e-09,33236,5e-10,1.9,90,35
1,1,76600,1.6592e-09,33183,5e-10,1.8,90,35
1,1,76738,1.6606e-09,33211,5e-10,1.7,90,35
1,1,76825,1.6627e-09,33253,5e-10,1.6,90,35
1,1,76945,1.6649e-09,33297,5e-10,1.5,90,35
1,1,76920,1.6644e-09,33289,5e-10,1.4,90,35
1,1,76955,1.6647e-09,33293,5e-10,1.3,90,35
1,1,76904,1.6647e-09,33293,5e-10,1.2,90,35
1,1,76856,1.6637e-09,33275,5e-10,1.1,90,35
1,1,76972,1.6642e-09,33285,5e-10,1,90,35
1,1,76923,1.6649e-09,33299,5e-10,0.9,90,35
1,1,76971,1.6657e-09,33314,5e-10,0.8,90,35
1,1,77193,1.6697e-09,33395,5e-10,0.7,90,35
1,1,77145,1.6702e-09,33403,5e-10,0.6,90,35
1,1,76959,1.6671e-09,33343,5e-10,0.5,90,35
1,1,77107,1.6688e-09,33376,5e-10,0.4,90,35
1,1,77017,1.6671e-09,33343,5e-10,0.3,90,35
1,1,77168,1.6689e-09,33378,5e-10,0.2,90,35
1,1,77130,1.669e-09,33380,5e-10,0.1,90,35
1,1,77190,1.6695e-09,33389,5e-10,1.1685e-14,90,35
1,1,77067,1.667e-09,33341,5e-10,-0.1,90,35
1,1,77103,1.6698e-09,33397,5e-10,-0.2,90,35
1,1,77274,1.6751e-09,33503,5e-10,-0.3,90,35
1,1,77164,1.6736e-09,33471,5e-10,-0.4,90,35
1,1,77233,1.6861e-09,33722,5e-10,-0.5,90,35
1,1,77216,1.7823e-09,35646,5e-10,-0.6,90,35
1,1,77022,1.7779e-09,35558,5e-10,-0.7,90,35
1,1,77287,1.8016e-09,36032,5e-10,-0.8,90,35
1,1,77227,1.8008e-09,36015,5e-10,-0.9,90,35
1,1,77116,1.8012e-09,36025,5e-10,-1,90,35
1,1,77127,1.8023e-09,36046,5e-10,-1.1,90,35
1,1,77065,1.8026e-09,36052,5e-10,-1.2,90,35
1,1,77108,1.8037e-09,36075,5e-10,-1.3,90,35
1,1,77055,1.8033e-09,36067,5e-10,-1.4,90,35
1,1,77110,1.8043e-09,36085,5e-10,-1.5,90,35
1,1,76897,1.8008e-09,36015,5e-10,-1.6,90,35
1,1,76852,1.8002e-09,36003,5e-10,-1.7,90,35
1,1,76736,1.7977e-09,35954,5e-10,-1.8,90,35
1,1,76885,1.8005e-09,36011,5e-10,-1.9,90,35
1,1,76944,1.8027e-09,36054,5e-10,-2,90,35
1,1,76764,1.7996e-09,35991,5e-10,-2.1,90,35
1,1,76806,1.8001e-09,36002,5e-10,-2.2,90,35
1,1,76762,1.7989e-09,35978,5e-10,-2.3,90,35
1,1,76816,1.8015e-09,36030,5e-10,-2.4,90,35
1,1,76921,1.8032e-09,36065,5e-10,-2.5,90,35
1,1,76711,1.7978e-09,35956,5e-10,-2.6,90,35
1,1,76680,1.7991e-09,35982,5e-10,-2.7,90,35
1,1,76633,1.7979e-09,35958,5e-10,-2.8,90,35
1,1,76459,1.7945e-09,35891,5e-10,-2.9,90,35
1,1,76343,1.7931e-09,35863,5e-10,-3,90,35
1,1,76357,1.7931e-09,35862,5e-10,-3.1,90,35
1,1,76237,1.7896e-09,35791,5e-10,-3.2,90,35
1,1,76266,1.7912e-09,35825,5e-10,-3.3,90,35
1,1,76138,1.7896e-09,35792,5e-10,-3.4,90,35
1,1,76196,1.7898e-09,35796,5e-10,-3.5,90,35
1,1,76121,1.7886e-09,35772,5e-10,-3.6,90,35
1,1,76117,1.7889e-09,35779,5e-10,-3.7,90,35
1,1,76189,1.7898e-09,35797,5e-10,-3.8,90,35
1,1,76001,1.7863e-09,35727,5e-10,-3.9,90,35
1,1,75900,1.7854e-09,35707,5e-10,-4,90,35
1,1,75881,1.7842e-09,35684,5e-10,-4.1,90,35
1,1,76041,1.7873e-09,35745,5e-10,-4.2,90,35
1,1,75905,1.7853e-09,35705,5e-10,-4.3,90,35
1,1,75905,1.7854e-09,35707,5e-10,-4.4,90,35
1,1,75866,1.7853e-09,35705,5e-10,-4.5,90,35
1,1,76158,1.7899e-09,35798,5e-10,-4.6,90,35
1,1,76277,1.7923e-09,35846,5e-10,-4.7,90,35
1,1,76328,1.794e-09,35880,5e-10,-4.8,90,35
1,1,76247,1.7924e-09,35849,5e-10,-4.9,90,35
1,1,76059,1.788e-09,35760,5e-10,-5,90,35
1,1,76071,1.789e-09,35781,5e-10,-5.1,90,35
1,1,76360,1.7948e-09,35896,5e-10,-5.2,90,35
1,1,76480,1.7974e-09,35947,5e-10,-5.3,90,35
1,1,76615,1.7984e-09,35968,5e-10,-5.4,90,35
1,1,76639,1.8004e-09,36007,5e-10,-5.5,90,35
1,1,76663,1.8013e-09,36026,5e-10,-5.6,90,35
1,1,76562,1.7994e-09,35988,5e-10,-5.7,90,35
1,1,76608,1.7993e-09,35987,5e-10,-5.8,90,35
1,1,76492,1.798e-09,35960,5e-10,-5.9,90,35
1,1,76475,1.7977e-09,35954,5e-10,-6,90,35
1,1,76467,1.7984e-09,35968,5e-10,-6.1,90,35
1,1,76463,1.7974e-09,35948,5e-10,-6.2,90,35
1,1,76643,1.8006e-09,36013,5e-10,-6.3,90,35
1,1,76559,1.8013e-09,36027,5e-10,-6.4,90,35
1,1,76520,1.7981e-09,35961,5e-10,-6.5,90,35
1,1,76520,1.7999e-09,35998,5e-10,-6.6,90,35
1,1,76543,1.8006e-09,36013,5e-10,-6.7,90,35
1,1,76312,1.7957e-09,35915,5e-10,-6.8,90,35
1,1,76376,1.7951e-09,35902,5e-10,-6.9,90,35
1,1,76388,1.7974e-09,35948,5e-10,-7,90,35
1,1,76426,1.7983e-09,35965,5e-10,-7.1,90,35
1,1,76431,1.7983e-09,35966,5e-10,-7.2,90,35
1,1,76335,1.7967e-09,35934,5e-10,-7.3,90,35
1,1,76349,1.798e-09,35960,5e-10,-7.4,90,35
1,1,76468,1.7984e-09,35967,5e-10,-7.5,90,35
1,1,76560,1.8004e-09,36007,5e-10,-7.6,90,35
1,1,76360,1.7962e-09,35924,5e-10,-7.7,90,35
1,1,76225,1.795e-09,35899,5e-10,-7.8,90,35
1,1,76456,1.8001e-09,36001,5e-10,-7.9,90,35
1,1,76540,1.8001e-09,36002,5e-10,-8,90,35
