checkbeam_checkrc_beamok,checkbeam_checktopup_time_beamok,macr16_data,refl_refl,refl_refl_raw,refl_refl_sens,vmag_field,vmag_phi,vmag_theta
1,1,76397,1.7973e-09,35946,5e-10,-8,90,35
1,1,76442,1.7991e-09,35982,5e-10,-7.9,90,35
1,1,76357,1.7972e-09,35944,5e-10,-7.8,90,35
1,1,76271,1.7963e-09,35927,5e-10,-7.7,90,35
1,1,76257,1.7957e-09,35915,5e-10,-7.6,90,35
1,1,76278,1.7969e-09,35938,5e-10,-7.5,90,35
1,1,76263,1.7958e-09,35917,5e-10,-7.4,90,35
1,1,76052,1.7912e-09,35824,5e-10,-7.3,90,35
1,1,76198,1.7936e-09,35872,5e-10,-7.2,90,35
1,1,76198,1.7947e-09,35894,5e-10,-7.1,90,35
1,1,76256,1.7955e-09,35910,5e-10,-7,90,35
1,1,76349,1.7988e-09,35975,5e-10,-6.9,90,35
1,1,76185,1.7939e-09,35878,5e-10,-6.8,90,35
1,1,76397,1.799e-09,35981,5e-10,-6.7,90,35
1,1,76449,1.7993e-09,35986,5e-10,-6.6,90,35
1,1,76361,1.7986e-09,35973,5e-10,-6.5,90,35
1,1,76406,1.8e-09,36000,5e-10,-6.4,90,35
1,1,76477,1.7995e-09,35989,5e-10,-6.3,90,35
1,1,76437,1.8002e-09,36004,5e-10,-6.2,90,35
1,1,76468,1.8005e-09,36010,5e-10,-6.1,90,35
1,1,76451,1.7998e-09,35996,5e-10,-6,90,35
1,1,76653,1.8039e-09,36078,5e-10,-5.9,90,35
1,1,76643,1.8029e-09,36058,5e-10,-5.8,90,35
1,1,76508,1.8017e-09,36033,5e-10,-5.7,90,35
1,1,76463,1.8003e-09,36006,5e-10,-5.6,90,35
1,1,76305,1.7983e-09,35965,5e-10,-5.5,90,35
1,1,76485,1.8012e-09,36025,5e-10,-5.4,90,35
1,1,76370,1.7985e-09,35971,5e-10,-5.3,90,35
1,1,76702,1.805e-09,36100,5e-10,-5.2,90,35
1,1,76618,1.8033e-09,36067,5e-10,-5.1,90,35
1,1,76408,1.8002e-09,36003,5e-10,-5,90,35
1,1,76467,1.8018e-09,36037,5e-10,-4.9,90,35
1,1,76503,1.8005e-09,36011,5e-10,-4.8,90,35
1,1,76546,1.8023e-09,36046,5e-10,-4.7,90,35
1,1,76529,1.8016e-09,36032,5e-10,-4.6,90,35
1,1,76379,1.7984e-09,35968,5e-10,-4.5,90,35
1,1,76495,1.8011e-09,36022,5e-10,-4.4,90,35
1,1,76375,1.7991e-09,35982,5e-10,-4.3,90,35
1,1,76405,1.799e-09,35980,5e-10,-4.2,90,35
1,1,76334,1.797e-09,35939,5e-10,-4.1,90,35
1,1,76489,1.8011e-09,36022,5e-10,-4,90,35
1,1,76419,1.7995e-09,35990,5e-10,-3.9,90,35
1,1,76386,1.7995e-09,35990,5e-10,-3.8,90,35
